x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kunnur Manjunath Channappa,"442,759",51.2%,Bharatiya Janta Party, AC View
2,2,Prof. I G Sanadi,"297,647",34.4%,Indian National Congress, AC View
3,3,Prema Sanganabasanagouda Patil,"76,555",8.9%,Janata Dal (Secular), AC View
4,4,Hosamani Mohamed Haneef Meerasab,"23,620",2.7%,Independent, AC View
5,5,Patil Shiddanagouda Siddalingappa Gouda,"12,339",1.4%,Kannada Nadu Party, AC View
6,6,Dr. Syed Roshan Mulla,"11,890",1.4%,Bahujan Samaj Party, AC View
