x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Arjun Charan Sethi,"489,200",52.5%,Biju Janata Dal, AC View
2,2,Muralidhar Jena,"394,431",42.3%,Indian National Congress, AC View
3,3,Purusottam Malik,"31,586",3.4%,Independent, AC View
4,4,Prafulla Kumar Das,"17,059",1.8%,Bahujan Samaj Party, AC View
