x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Baliram Kashyap,"212,893",47.3%,Bharatiya Janta Party, AC View
2,2,Mahendra Karma,"158,520",35.2%,Indian National Congress, AC View
3,3,Ramnath Sarfe,"30,608",6.8%,Communist Party Of India, AC View
4,4,Dasi Bai,"24,556",5.5%,Independent, AC View
5,5,Chandra Shekhar Dhruva (SHEKHAR),"7,465",1.7%,Independent, AC View
6,6,Laxminath Bharti,"6,856",1.5%,Bahujan Samaj Party, AC View
7,7,Shivram,"5,017",1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Shkuntala Ate,"4,510",1.0%,Samajwadi Party, AC View
