x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chandra Sekhar Sahu,"355,973",49.5%,Indian National Congress, AC View
2,2,Anadi Sahu,"304,316",42.3%,Bharatiya Janta Party, AC View
3,3,Jaganath Patro,"34,032",4.7%,Independent, AC View
4,4,K . Shyambabu Subudhi,"25,058",3.5%,Independent, AC View
