x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Pratibha Singh,"357,623",53.8%,Indian National Congress, AC View
2,2,Maheshwar Singh,"291,057",43.8%,Bharatiya Janta Party, AC View
3,3,Mohan Lal Sahni,"8,671",1.3%,Bahujan Samaj Party, AC View
4,4,Shan Mohammad,"8,076",1.2%,Independent, AC View
5,5,Kashmir Singh Guleria,"4,125",0.6%,Independent, AC View
