x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mitrasen,"207,285",30.2%,Bahujan Samaj Party, AC View
2,2,Lallu Singh,"173,799",25.3%,Bharatiya Janta Party, AC View
3,3,Ashok Kumar Singh,"137,148",20.0%,Samajwadi Party, AC View
4,4,Nirmal Khatri,"95,274",13.9%,Indian National Congress, AC View
5,5,Siya Ram Nishad,"19,169",2.8%,Apna Dal, AC View
6,6,Ram Nihal,"13,331",1.9%,Independent, AC View
7,7,Hubraj,"8,753",1.3%,Independent, AC View
8,8,Rajendra Prasad,"5,363",0.8%,Independent, AC View
9,9,Om Prakash Chaurasia 'advocate',"5,100",0.7%,Rashtriya Samanta Dal, AC View
10,10,Suresh Kumar,"4,177",0.6%,Rashtriya Swabhimaan Party, AC View
11,11,Devendra Bahadur Rai,"3,969",0.6%,Independent, AC View
12,12,Ram Achhaiber Yadav,"3,613",0.5%,Independent, AC View
13,13,Saty Narayan,"2,242",0.3%,Bhartiya Lok Kalyan Dal, AC View
14,14,Durga Prasad Tewari 'afat',"2,215",0.3%,Akhil Bharatiya Jan Sangh, AC View
15,15,Angad Kumar,"1,992",0.3%,Independent, AC View
16,16,Rupendra Kumar,"1,742",0.3%,Indian Justice Party, AC View
17,17,Rakesh Srivastava,"1,427",0.2%,Samajwadi Janata Party (RASHTRIYA), AC View
