x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Acharia Basudeb,"417,798",60.4%,Communist Party Of India (MARXIST), AC View
2,2,Deb Prasad Kundu ( Tara),"187,469",27.1%,All India Trinamool Congress, AC View
3,3,Bhaskar Chandra Bhadra,"23,553",3.4%,Independent, AC View
4,4,Natabar Bagdi,"21,306",3.1%,Party For Democratic Socialism, AC View
5,5,Balaram Mahato,"18,508",2.7%,Jharkhand Mukti Morcha, AC View
6,6,Rahul Sen,"8,568",1.2%,Samajwadi Party, AC View
7,7,Motilal Murmu,"7,892",1.1%,Bahujan Samaj Party, AC View
8,8,Abhiram Besra,"6,411",0.9%,Jharkhand Disom Party, AC View
9,9,Gopinath Mandi,"3,982",0.6%,Amara Bengali, AC View
