x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sukhdev Singh Dhindsa,"286,828",34.2%,Shiromani Akali Dal, AC View
2,2,Arvind Khanna,"259,551",31.0%,Indian National Congress, AC View
3,3,Simranjit Singh Mann,"216,898",25.9%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
4,4,Mangat Rai Bansal,"38,215",4.6%,Bahujan Samaj Party, AC View
5,5,Sukhdev Singh Bari,"14,289",1.7%,Independent, AC View
6,6,Mohamad Shamshad,"8,872",1.1%,Independent, AC View
7,7,Mit Singh,"3,366",0.4%,Independent, AC View
8,8,Baljinder Singh,"2,631",0.3%,Independent, AC View
9,9,Sukhdev Singh,"2,449",0.3%,Independent, AC View
10,10,Avtar Singh,"2,046",0.2%,Independent, AC View
11,11,Daljit Singh,"1,673",0.2%,Independent, AC View
