x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lal Krishna Advani,"516,120",61.1%,Bharatiya Janta Party, AC View
2,2,Gabhaji Mangaji Thakor,"298,982",35.4%,Indian National Congress, AC View
3,3,Sunil Shah,"8,412",1.0%,Independent, AC View
4,4,Vitthalbhai Pandya,"8,395",1.0%,Independent, AC View
5,5,L. N. Medipally (ADVOCATE),"6,660",0.8%,Bahujan Samaj Party, AC View
6,6,Brahmbhatt Sanjaybhai Amarkumar,"1,234",0.1%,Independent, AC View
7,7,Nizami Mahammad Aslam Mahammad Salim (ASLAM NIZAMI),"1,091",0.1%,Samajwadi Party, AC View
8,8,Patel Dipakkumar Gopaldas (CAPTAIN),975,0.1%,Akhil Bharatiya Jan Sangh, AC View
9,9,Arunbhai Swaroopji Maru,793,0.1%,Independent, AC View
10,10,Parmar Jivraj Mansukhbhai(AMIN JITENDRAKUMAR MANSUKHBHAI),767,0.1%,Independent, AC View
11,10,Imran Gulamnabi Ajmeri (NAIK SONIYADE AASHIKDE PAVAIYA),767,0.1%,Independent, AC View
12,12,Khodabhai Laljibhai Desai,695,0.1%,Independent, AC View
13,13,Dudhatra Mukundbhai Govindbhai,685,0.1%,Independent, AC View
