x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rana Rajendrasinh Ghanashyamsinh (RAJUBHAI RANA),"247,336",55.6%,Bharatiya Janta Party, AC View
2,2,Gigabhai Bhavubhai Gohil (GIGABHAI GOHIL),"166,910",37.5%,Indian National Congress, AC View
3,3,Kherala Dilipkumar Manajibhai,"12,544",2.8%,Independent, AC View
4,4,Makwana Meghjibhai Mavjibhai,"10,093",2.3%,Samajwadi Party, AC View
5,5,Goswami Dhirajgiri Baldevgiri,"7,948",1.8%,Bahujan Samaj Party, AC View
