x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Dhanuskodi Athithan, R.","370,127",58.6%,Indian National Congress, AC View
2,2,"Amirtha Ganesan, R.","203,052",32.2%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Appavu. M,"39,333",6.2%,Janata Dal (United), AC View
4,4,Sridhar Babu. C,"5,774",0.9%,Independent, AC View
5,5,Kasipandian. T,"3,606",0.6%,Bahujan Samaj Party, AC View
6,6,Thirumalai Nambi. K,"1,904",0.3%,Independent, AC View
7,7,"Shanmuganathan, K.G.","1,650",0.3%,Independent, AC View
8,8,"Muthukumar, A.","1,518",0.2%,Independent, AC View
9,9,Suresh. S,"1,505",0.2%,Jharkhand Party, AC View
10,10,Chinnadurai. G,"1,386",0.2%,Independent, AC View
11,11,Sulaiman Sait Alim. A,"1,355",0.2%,Independent, AC View
12,12,Kalyana Suntharam. A,968,0.2%,Independent, AC View
13,13,"Ari Puthiran, A.",820,0.1%,Independent, AC View
14,14,"Rajagopalan, N.",784,0.1%,Independent, AC View
