x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,P. Jaya Prada Nahata,"289,390",35.7%,Samajwadi Party, AC View
2,2,Bagum Noor Bano Alias Mehtab Zamani Begum,"203,916",25.1%,Indian National Congress, AC View
3,3,Afroz Ali Khan,"126,406",15.6%,Bahujan Samaj Party, AC View
4,4,Rajendra Kumar Sharma,"121,785",15.0%,Bharatiya Janta Party, AC View
5,5,Shiv Bahadur Saxena,"27,434",3.4%,Jharkhand Party, AC View
6,6,Nand Kishor,"6,077",0.7%,Independent, AC View
7,7,Ghan Shyam Singh,"4,632",0.6%,Independent, AC View
8,8,Rais Ahmad,"4,332",0.5%,Independent, AC View
9,9,Anurag,"4,090",0.5%,Shiv Sena, AC View
10,10,Mohd. Rehan,"3,901",0.5%,Independent, AC View
11,11,Kaushal Kumar,"3,720",0.5%,Independent, AC View
12,12,Kallu,"3,692",0.5%,Independent, AC View
13,13,Raza Shan Khan,"3,031",0.4%,Independent, AC View
14,14,Veena Sagar,"1,748",0.2%,Apna Dal, AC View
15,15,Noor Mohammad,"1,724",0.2%,Janata Dal (Secular), AC View
16,16,Amar Singh Gautam,"1,472",0.2%,Independent, AC View
17,17,Mahavir Singh,"1,347",0.2%,Labour Party (Secular), AC View
18,18,Gurnam Singh,"1,084",0.1%,Indian Justice Party, AC View
19,19,Gomti,815,0.1%,Rashtriya Parivartan Dal, AC View
