x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sushil Kumar Modi,"345,151",45.6%,Bharatiya Janta Party, AC View
2,2,Subodh Ray,"227,298",30.0%,Communist Party Of India (MARXIST), AC View
3,3,Prawez Khan,"130,064",17.2%,Bahujan Samaj Party, AC View
4,4,Chunchun Pra Yadav,"13,239",1.7%,Samajwadi Party, AC View
5,5,Sunil Choudhary,"12,202",1.6%,Independent, AC View
6,6,Ashok Ray,"8,725",1.2%,Proutist Sarva Samaj Party, AC View
7,7,Diwakar Lal Vanshi,"7,001",0.9%,Independent, AC View
8,8,Naresh Prasad Yadav,"6,399",0.8%,Independent, AC View
9,9,"Nagarmal Bajoria ""dhartipakar""","3,838",0.5%,Akhil Bharat Hindu Mahasabha, AC View
10,10,Akhil Bharatiya Sharma,"3,370",0.4%,Independent, AC View
