x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sukhbir Singh Badal,"475,928",53.3%,Shiromani Akali Dal, AC View
2,2,Karan Kaur Brar,"340,649",38.1%,Indian National Congress, AC View
3,3,Sant Ram,"45,207",5.1%,Bahujan Samaj Party, AC View
4,4,Gurlal Singh,"10,857",1.2%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
5,5,Harmail Singh,"7,501",0.8%,Independent, AC View
6,6,Nirmal Singh,"4,448",0.5%,Lok Jan Shakti Party, AC View
7,7,Navneet Kumar,"3,064",0.3%,Shiv Sena, AC View
8,8,Sukhbir Singh,"2,735",0.3%,Independent, AC View
9,9,Kulwant Singh,"1,675",0.2%,Mool Bharati (S) Party, AC View
10,10,Ashok Kumar,"1,080",0.1%,Janata Dal (Secular), AC View
