x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Shibu Soren,"339,542",54.3%,Jharkhand Mukti Morcha, AC View
2,2,Sone Lal Hembrom,"224,527",35.9%,Bharatiya Janta Party, AC View
3,3,Baijnath Manjhi,"13,478",2.2%,Bahujan Samaj Party, AC View
4,4,Jonathan Tudu,"12,325",2.0%,All Jharkhand Students Union, AC View
5,5,Sona Murmu,"9,132",1.5%,Independent, AC View
6,6,Surun Soren,"8,039",1.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Kali Charan Dehri,"6,285",1.0%,Independent, AC View
8,8,Kaleshwar Soren,"4,358",0.7%,Independent, AC View
9,9,Maikel Murmu,"3,929",0.6%,Samajwadi Party, AC View
10,10,Samuel Soren,"3,503",0.6%,Lok Jan Shakti Party, AC View
