x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Hannan Mollah,"424,749",50.0%,Communist Party Of India (MARXIST), AC View
2,2,Rajib Banerjee,"272,634",32.1%,All India Trinamool Congress, AC View
3,3,Kazi Abdul Rajjak,"124,326",14.6%,Indian National Congress, AC View
4,4,Snehanshu Maity,"8,785",1.0%,Independent, AC View
5,5,Dilip Kumar Hait,"6,687",0.8%,Independent, AC View
6,6,Sandhya Mandal,"6,677",0.8%,Bahujan Samaj Party, AC View
7,7,Bharat Chandra Manna,"4,030",0.5%,Independent, AC View
8,8,Baidya Nath Chowdhury,"3,658",0.4%,Independent, AC View
