x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lal Mani Prasad,"155,223",26.9%,Bahujan Samaj Party, AC View
2,2,Sriram Chauhan,"129,849",22.5%,Bharatiya Janta Party, AC View
3,3,Ratnakar Dhusiya,"127,749",22.2%,Samajwadi Party, AC View
4,4,Umed Singh,"102,336",17.8%,Indian National Congress, AC View
5,5,Ram Nawal,"24,205",4.2%,Bahujan Kisan Dal, AC View
6,6,Hari Pal,"11,669",2.0%,Independent, AC View
7,7,Ram Milan Gond,"6,513",1.1%,Apna Dal, AC View
8,8,Ram Das,"3,797",0.7%,Independent, AC View
9,9,Gaura,"3,661",0.6%,Independent, AC View
10,10,Nand Kumar Nag,"3,587",0.6%,Independent, AC View
11,11,Ramesh,"3,258",0.6%,Manuvadi Party, AC View
12,12,Vijay,"2,761",0.5%,Akhil Bharat Hindu Mahasabha, AC View
13,13,Ram Dularey Sonkar,"1,796",0.3%,Rashtriya Janata Dal, AC View
