x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vanlalzawma,"182,864",52.9%,Mizo National Front, AC View
2,2,Dr. Laltluangliana Khiangte,"159,170",46.1%,Independent, AC View
3,3,Tlangdingliana,"6,512",1.9%,Ephraim Union, AC View
