x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Laxmanrao Pandurang Jadhav (PATIL),"281,577",41.8%,Nationalist Congress Party, AC View
2,2,Hindurao N. Naik Nimbalkar,"277,620",41.2%,Shiv Sena, AC View
3,3,Kadam Suryajirao Alias Chimanrao Shankarao,"62,492",9.3%,Independent, AC View
4,4,Khatake Bajarang Subhedar,"28,325",4.2%,Rashtriya Samaj Paksha, AC View
5,5,Amar Raghunath Gaikwad,"13,502",2.0%,Bahujan Samaj Party, AC View
6,6,Dr. Bhagawan Khanderao Alias Dr. B. K. Yadav,"11,496",1.7%,Lok Rajya Party, AC View
