x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,S. Mallikarjunaiah,"303,016",35.1%,Bharatiya Janta Party, AC View
2,2,Jagadeesh D L,"300,665",34.9%,Janata Dal (Secular), AC View
3,3,Basavaraj G S,"227,701",26.4%,Indian National Congress, AC View
4,4,Pavagada Sreeram,"22,120",2.6%,Independent, AC View
5,5,Choudhari Veer Singh,"10,241",1.2%,Samajwadi Party, AC View
