x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Archana Nayak,"453,276",54.2%,Biju Janata Dal, AC View
2,2,Srikant Kumar Jena,"366,433",43.8%,Indian National Congress, AC View
3,3,Bikram Keshari Routray,"16,556",2.0%,Independent, AC View
