x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rajiv Ranjan Singh,"301,562",44.4%,Janata Dal (United), AC View
2,2,Krishna Sahi,"281,071",41.4%,Indian National Congress, AC View
3,3,Kumar Suman Singh,"61,352",9.0%,Independent, AC View
4,4,Rajendra Mahto,"10,276",1.5%,Independent, AC View
5,5,Manoj Kumar Mahto,"9,480",1.4%,Bahujan Samaj Party, AC View
6,6,D. P. Ojha,"5,780",0.9%,Independent, AC View
7,7,Ram Kishun Sah,"4,338",0.6%,Apna Dal, AC View
8,8,Shankar Lal Chokhani,"2,646",0.4%,Lok Sewa Dal, AC View
9,9,Sree Narayan Goswami,"2,162",0.3%,Indian Justice Party, AC View
