x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Venugopal, D.","453,786",58.6%,Dravida Munetra Kazhagam, AC View
2,2,Subramani. K. G,"272,884",35.2%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Irshad Ahamed. H. S,"12,327",1.6%,Janata Dal (United), AC View
4,4,Rajendiran. P,"8,284",1.1%,Bahujan Samaj Party, AC View
5,5,Sathtar Basha. A. K.,"6,171",0.8%,Independent, AC View
6,6,Vijayakumar. P,"4,171",0.5%,Jharkhand Party, AC View
7,7,Ramu. G,"4,117",0.5%,Independent, AC View
8,8,Venugopal. P,"3,733",0.5%,Independent, AC View
9,9,Prabhakaran. K,"2,287",0.3%,Independent, AC View
10,10,Kumar. P,"1,355",0.2%,Independent, AC View
11,11,Nowsath. B,"1,305",0.2%,Independent, AC View
12,12,Subramanian. S,"1,279",0.2%,Independent, AC View
13,13,Ayodhi. L,"1,256",0.2%,Independent, AC View
14,14,Srinivasan. R,"1,065",0.1%,Independent, AC View
15,15,Kamaraj. A,"1,046",0.1%,Independent, AC View
16,16,Arunachalam. C,"1,019",0.1%,Independent, AC View
