x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Atma Singh Gill,"349,397",41.5%,Indian National Congress, AC View
2,2,Dr. Sushil Indora,"277,922",33.0%,Indian National Lok Dal, AC View
3,3,Mahavir Parshad,"115,128",13.7%,Bharatiya Janta Party, AC View
4,4,Rair Chand,"46,059",5.5%,Haryana Vikas Party, AC View
5,5,Dr. Ramesh Bhukal,"24,448",2.9%,Bahujan Samaj Party, AC View
6,6,Vikaramjit,"13,132",1.6%,Independent, AC View
7,7,Ami Lal,"10,823",1.3%,Rashtriya Vikas Party, AC View
8,8,Desraj,"4,773",0.6%,Independent, AC View
