x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kalyan Singh,"258,284",37.7%,Bharatiya Janta Party, AC View
2,2,Badrul Islam,"241,633",35.3%,Rashtriya Lok Dal, AC View
3,3,Devendra Bhardwaj,"119,104",17.4%,Bahujan Samaj Party, AC View
4,4,Pt. Chandra Shekhar Sharma,"38,805",5.7%,Indian National Congress, AC View
5,5,Hakim Ahmad Qureshi,"5,150",0.8%,Independent, AC View
6,6,Phirey Singh,"4,682",0.7%,Independent, AC View
7,7,Mahendra Singh,"3,370",0.5%,Labour Party (Secular), AC View
8,8,Shrinivas,"3,112",0.5%,Akhil Bharat Hindu Mahasabha, AC View
9,9,Nasir Iqbal,"3,009",0.4%,Independent, AC View
10,10,Chunni Lal,"2,340",0.3%,Independent, AC View
11,11,Ramphal,"1,778",0.3%,Independent, AC View
12,12,Yad Karan,"1,516",0.2%,Rashtriya Samanta Dal, AC View
13,13,Chaman Lal,813,0.1%,Independent, AC View
14,14,Satendra Singh,793,0.1%,Bharatiya Republican Paksha, AC View
15,15,Imtiyaz Mohd. Khan,449,0.1%,Independent, AC View
16,16,Smt. Krishana Singh,423,0.1%,Independent, AC View
