x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Gadakh Tukaram Gangadhar,"362,938",52.9%,Nationalist Congress Party, AC View
2,2,Prof. N. S. Pharande,"287,861",41.9%,Bharatiya Janta Party, AC View
3,3,Sayyad Mushtak Ahmed,"11,115",1.6%,Independent, AC View
4,4,Dr. Bhise Indrakumar Devrao,"8,786",1.3%,Rashtriya Samaj Paksha, AC View
5,5,Waghmare Raju Ratnakar,"8,722",1.3%,Bahujan Samaj Party, AC View
6,6,Ramnath Gahininath Golhar,"5,042",0.7%,Independent, AC View
7,7,Aware Radhakisan Babu,"3,258",0.5%,Independent, AC View
