x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ananthkumar Hegde,"433,174",52.1%,Bharatiya Janta Party, AC View
2,2,Margaret Alva,"260,948",31.4%,Indian National Congress, AC View
3,3,Devaraya Naik G,"69,487",8.4%,Janata Dal (Secular), AC View
4,4,Neernalli Ramakrishn,"24,213",2.9%,Jharkhand Party, AC View
5,5,Jayant Mukund Tinaikar,"19,840",2.4%,Kannada Nadu Party, AC View
6,6,Mutaguppi Laxmesh Putta,"17,513",2.1%,Independent, AC View
7,7,Ajeya Madhav Shanbhag,"8,757",1.1%,Independent, AC View
