x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Giridhar Gamang,"334,748",45.5%,Indian National Congress, AC View
2,2,Papanna Mutika,"291,481",39.6%,Biju Janata Dal, AC View
3,3,Tankadhar Majhi,"61,072",8.3%,Bahujan Samaj Party, AC View
4,4,Meghanada Sabar,"48,366",6.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
