x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Maya Wati,"325,019",43.8%,Bahujan Samaj Party, AC View
2,2,Shankh Lal Manjhi,"266,750",36.0%,Samajwadi Party, AC View
3,3,Triveni Ram,"60,895",8.2%,Bharatiya Janta Party, AC View
4,4,Pushpa Kanaujia,"29,254",3.9%,Apna Dal, AC View
5,5,Jaisraj Gautam,"28,312",3.8%,Indian National Congress, AC View
6,6,Karuna Shankar,"11,108",1.5%,Independent, AC View
7,7,Shri Niwas,"5,419",0.7%,Suheldev Bhartiya Samaj Party, AC View
8,8,Ram Lal Rahi,"3,706",0.5%,Rashtriya Samanta Dal, AC View
9,9,Ram Niranjan,"3,164",0.4%,Manuvadi Party, AC View
10,10,Ram Laut,"3,016",0.4%,Rashtriya Swabhimaan Party, AC View
11,11,Asha Ram,"2,940",0.4%,Independent, AC View
12,12,Ram Pratap,"1,989",0.3%,Republican Party Of India, AC View
