x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dutt Priya Sunil,"385,755",51.6%,Indian National Congress, AC View
2,2,Sanjay Nirupam,"338,397",45.3%,Shiv Sena, AC View
3,3,Ismail Makwana,"6,867",0.9%,Bahujan Samaj Party, AC View
4,4,Shekhar Vaishnav,"4,019",0.5%,Independent, AC View
5,5,Khare Jayawant Mahadev,"2,851",0.4%,Lok Rajya Party, AC View
6,6,Perimal John Baburao,"1,949",0.3%,Independent, AC View
7,7,Raj Singh,"1,582",0.2%,Independent, AC View
8,8,Krishnan K. K.,"1,194",0.2%,Independent, AC View
9,9,Aarti Mehta,"1,113",0.1%,Independent, AC View
10,10,Dubey Satyadev,840,0.1%,Independent, AC View
11,11,Diliprao D. Patil,829,0.1%,Bharatiya Minorities Suraksha Mahasangh, AC View
12,12,Anand Ravinder Singh,796,0.1%,Independent, AC View
13,13,Ramchandra Narayan Kachave,762,0.1%,Kranti Kari Jai Hind Sena, AC View
14,14,Patel Sairabano Mohammed,733,0.1%,Independent, AC View
