x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Namo Narain,"367,553",55.3%,Indian National Congress, AC View
2,2,Jaskaur,"256,390",38.6%,Bharatiya Janta Party, AC View
3,3,Kailash,"27,332",4.1%,Bahujan Samaj Party, AC View
4,4,Hari Prasad,"7,235",1.1%,Samajwadi Janata Party (RASHTRIYA), AC View
5,5,Geeta,"7,084",1.1%,Jharkhand Party, AC View
