x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Hemlal Murmu,"226,411",32.8%,Jharkhand Mukti Morcha, AC View
2,2,Thomas Hansda,"223,437",32.3%,Indian National Congress, AC View
3,3,Som Marandi,"192,454",27.8%,Bharatiya Janta Party, AC View
4,4,Chunda Tudu,"14,594",2.1%,Bahujan Samaj Party, AC View
5,5,Dilip Hembrom,"11,546",1.7%,Independent, AC View
6,6,Sukhlal Soren,"9,908",1.4%,Independent, AC View
7,7,Ramksrishna Soren,"7,388",1.1%,Independent, AC View
8,8,Babudhan Soren,"5,385",0.8%,Independent, AC View
