x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rajen Gohain,"342,704",43.6%,Bharatiya Janta Party, AC View
2,2,Bisnu Prasad,"311,292",39.6%,Indian National Congress, AC View
3,3,Dhruba Kumar Saikia,"104,273",13.3%,Asom Gana Parisad, AC View
4,4,Haji Abdur Rouf,"11,585",1.5%,"United Minorities Front, Assam", AC View
5,5,Bhupen Chandra Mudoi,"10,599",1.3%,Republican Party Of India, AC View
6,6,Biren Chandra Das,"5,616",0.7%,Samata Party, AC View
