x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Anjan Kumar Yadav M,"485,710",49.9%,Indian National Congress, AC View
2,2,Bandaru Dattatraya,"416,952",42.8%,Bharatiya Janta Party, AC View
3,3,Humera Aziz,"38,394",3.9%,All India Majlis-E-Ittehadul Muslimoon, AC View
4,4,M.D. Paul Vedanth,"7,816",0.8%,Bahujan Samaj Party, AC View
5,5,H.K. Jaiswal,"4,788",0.5%,Independent, AC View
6,6,Syed Nawaz Ahmed,"3,830",0.4%,Independent, AC View
7,7,Abdus Sattar Mujahed,"3,530",0.4%,Muslim League Kerala State Committee, AC View
8,8,Seelam Narayana,"3,398",0.3%,Independent, AC View
9,9,N. Chandra Shekar,"2,978",0.3%,Marxist Communist Party Of India (S.S.SRIVASTAVA), AC View
10,10,Achanta Bapiraju,"1,927",0.2%,Independent, AC View
11,11,Megha Murali,"1,884",0.2%,Pyramid Party Of India, AC View
12,12,Padm Yadagiri,"1,253",0.1%,Independent, AC View
13,13,Kailash Chandra,828,0.1%,Independent, AC View
