x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. P. Pookunhikoya,"15,597",49.0%,Janata Dal (United), AC View
2,2,P. M. Sayeed,"15,526",48.8%,Indian National Congress, AC View
3,3,E. P. Attakoya Thangal,468,1.5%,Jharkhand Party, AC View
4,4,Ameer Puthiyathanoda,229,0.7%,Samajwadi Party, AC View
