x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sudhangshu Seal,"151,772",42.2%,Communist Party Of India (MARXIST), AC View
2,2,Subrata Mukherjee,"108,768",30.2%,All India Trinamool Congress, AC View
3,3,Bandyopadhyay Sudip,"81,952",22.8%,Independent, AC View
4,4,Sudip Bandyopadhyay,"3,450",1.0%,Independent, AC View
5,5,"Prof. Vijay K.  Arora ""samyak""","2,666",0.7%,Independent, AC View
6,6,Sudhir Kr. Bishram,"2,201",0.6%,Independent, AC View
7,7,Ashim Das,"2,172",0.6%,Independent, AC View
8,8,Rizwan Ahmad Siddiqui,"2,127",0.6%,Bahujan Samaj Party, AC View
9,9,Subrata Banerjee,"1,185",0.3%,Independent, AC View
10,10,Biplab Mukherjee,"1,079",0.3%,Independent, AC View
11,11,Pandey Ramendra,969,0.3%,Independent, AC View
12,12,Gopal Ch. Saha,697,0.2%,Independent, AC View
13,13,Lok Nath Saraff,640,0.2%,Independent, AC View
14,14,Kamalesh Ojha,439,0.1%,Independent, AC View
