x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Anuradha Choudhary,"523,923",64.2%,Rashtriya Lok Dal, AC View
2,2,Shahnawaz,"181,509",22.2%,Bahujan Samaj Party, AC View
3,3,Amarkant Rana,"75,851",9.3%,Bharatiya Janta Party, AC View
4,4,Subhash Chand Maheshwari,"12,511",1.5%,Indian National Congress, AC View
5,5,Ompal,"3,687",0.5%,Independent, AC View
6,6,Raghuraj Singh,"3,538",0.4%,Bahujan Vikas Party, AC View
7,7,Uma Kashyap,"2,671",0.3%,Bahujan Kisan Dal, AC View
8,8,Jaipal,"1,591",0.2%,Independent, AC View
9,9,Jakir,"1,344",0.2%,Independent, AC View
10,10,Harendra,860,0.1%,Independent, AC View
11,11,Sukhmal,851,0.1%,Independent, AC View
12,12,Suresh,792,0.1%,Labour Party (Secular), AC View
13,13,Suman Ch.,763,0.1%,Independent, AC View
14,14,Yogesh,740,0.1%,Independent, AC View
15,15,Naseem Haider,714,0.1%,Independent, AC View
16,16,Kamruzama,660,0.1%,Independent, AC View
17,17,Ashu Sharma Urf Ashwani Sharma,543,0.1%,Bharatiya Janvadi Party, AC View
18,18,Gayoor,488,0.1%,Republican Party Of India, AC View
19,19,Ijharulhaq,485,0.1%,Independent, AC View
20,20,Harpal Singh,364,0.0%,Independent, AC View
21,21,Shaheen,359,0.0%,Independent, AC View
22,22,Shimla Urf Shimla Kashyap,344,0.0%,Independent, AC View
23,23,Musheer Ahmad,327,0.0%,Awami Party, AC View
24,24,Phalkumar,321,0.0%,Independent, AC View
25,25,Dilshad Ali,318,0.0%,Independent, AC View
26,25,Ramkrishan Mittal,318,0.0%,Independent, AC View
27,27,Shoraj Singh,216,0.0%,Independent, AC View
28,28,Anand Pal,208,0.0%,Independent, AC View
29,29,Radhesh Kumar Urf Pappu,203,0.0%,Indian Justice Party, AC View
30,30,Mukesh,126,0.0%,Independent, AC View
31,31,Ravindra Kumar,101,0.0%,Independent, AC View
