x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Rattan Singh Ajnala,"364,646",50.8%,Shiromani Akali Dal, AC View
2,2,Sukhbinder Singh ( SUKH SARKARIA),"308,252",43.0%,Indian National Congress, AC View
3,3,Tarlochan Singh Tur,"15,090",2.1%,Independent, AC View
4,4,Ravel Singh,"14,725",2.1%,Bahujan Samaj Party, AC View
5,5,Rajinder Rikhi,"7,274",1.0%,Independent, AC View
6,6,Manoj Kumar Duggal,"2,911",0.4%,Independent, AC View
7,7,Babu Ram,"1,847",0.3%,Independent, AC View
8,8,Rajwant Singh,"1,535",0.2%,Bharatiya Gaon Taj Dal, AC View
9,9,Sukhjinder Singh,"1,095",0.2%,Independent, AC View
