x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sujan Chakraborty,"505,396",49.6%,Communist Party Of India (MARXIST), AC View
2,2,Krishna Bose,"415,728",40.8%,All India Trinamool Congress, AC View
3,3,Prof. Omprakash Mishra,"66,121",6.5%,Indian National Congress, AC View
4,4,Banasree Chakraborty,"10,286",1.0%,Independent, AC View
5,5,Arabindu Halder,"6,875",0.7%,Bahujan Samaj Party, AC View
6,6,Anisur Rahman,"6,374",0.6%,Indian National League, AC View
7,7,Tapas Kumar Howlader,"3,235",0.3%,Independent, AC View
8,8,Tapan Sarkar,"2,603",0.3%,Independent, AC View
9,9,Badan Bairagi,"2,320",0.2%,Independent, AC View
10,10,Arup Ghosh,"1,710",0.2%,Independent, AC View
11,11,Jit Narayan Singh,"1,667",0.2%,Independent, AC View
