x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,G. Venkat Swamy,"572,207",61.0%,Indian National Congress, AC View
2,2,Dr.Mt. C. Suguna,"309,072",32.9%,Telugu Desam, AC View
3,3,Kannam Raghu,"26,554",2.8%,Bahujan Samaj Party, AC View
4,4,Kampelli Srinivas,"14,151",1.5%,Independent, AC View
5,5,Maddela Odelu,"8,829",0.9%,Independent, AC View
6,6,Kamilla Jaya Rao,"8,637",0.9%,Independent, AC View
