x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Minati Sen,"424,163",47.9%,Communist Party Of India (MARXIST), AC View
2,2,Parash Dutta,"243,558",27.5%,All India Trinamool Congress, AC View
3,3,Dipak Krishna Bhowmik,"130,255",14.7%,Indian National Congress, AC View
4,4,Nachhir Ali Pramanik,"19,316",2.2%,Independent, AC View
5,5,Subhasish Dasgupta,"18,473",2.1%,Independent, AC View
6,6,Shankar Kumar Ganguli,"14,745",1.7%,Independent, AC View
7,7,Santi Kumar Sarkar,"13,687",1.5%,Bahujan Samaj Party, AC View
8,8,Bhim Chandra Roy,"13,527",1.5%,Independent, AC View
9,9,Sankar Das,"7,278",0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Pabitra Maitra,"5,103",0.6%,Amara Bengali, AC View
