x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Nitish Kumar,"471,310",52.7%,Janata Dal (United), AC View
2,2,Dr. Kumar Pushpanjay,"368,914",41.2%,Lok Jan Shakti Party, AC View
3,3,Permanand Prasad,"19,124",2.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Ram Prawesh Prasad,"16,489",1.8%,Bahujan Samaj Party, AC View
5,5,Jageshwar Yadav,"4,479",0.5%,Samajwadi Party, AC View
6,6,Rajesh Kumar,"3,440",0.4%,Independent, AC View
7,7,Jyoteshwar Kumar Sharma,"2,366",0.3%,Independent, AC View
8,8,Nawal Kishore Singh,"2,105",0.2%,Independent, AC View
9,9,Arun Kumar Mehta,"1,826",0.2%,Independent, AC View
10,10,Bajang Prasad Kesari,"1,782",0.2%,Rashtriya Samanta Dal, AC View
11,11,Mohan Saw,"1,344",0.2%,Independent, AC View
12,12,Chandra Bhushan Kumar,"1,051",0.1%,Independent, AC View
13,13,Shiv Shankar Prasad,886,0.1%,Shiv Sena, AC View
