x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Pranab Mukherjee,"431,647",49.0%,Indian National Congress, AC View
2,2,Abul Hasnat Khan,"394,787",44.8%,Communist Party Of India (MARXIST), AC View
3,3,Shish Mohammad,"19,725",2.2%,All India Trinamool Congress, AC View
4,4,Palash De,"9,959",1.1%,Independent, AC View
5,5,Gour Pada Biswas Mallik,"8,499",1.0%,Bahujan Samaj Party, AC View
6,6,Abdus Sayeed,"7,132",0.8%,Independent, AC View
7,7,Tojibur Rahaman,"3,997",0.5%,Independent, AC View
8,8,Mohammad Abdur Rahaman,"3,934",0.4%,Samajwadi Party, AC View
9,9,Abu Asim Siddique,"3,448",0.4%,Independent, AC View
