x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Raja, A.","389,708",55.2%,Dravida Munetra Kazhagam, AC View
2,2,Sundaram. Dr. M.,"236,375",33.5%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Ganesan. V,"47,041",6.7%,Janata Dal (United), AC View
4,4,Jaisankar. K,"15,935",2.3%,Independent, AC View
5,5,Thatchanamoorthy Dr. M,"7,470",1.1%,Jharkhand Party, AC View
6,6,Jayaraman A.,"6,995",1.0%,Independent, AC View
7,7,Subramanian N.,"3,504",0.5%,Independent, AC View
