x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ananta Nayak,"355,702",43.7%,Bharatiya Janta Party, AC View
2,2,Nilakantha Nayak,"306,493",37.6%,Indian National Congress, AC View
3,3,Maheswar Majhi,"61,612",7.6%,Independent, AC View
4,4,Dr. Sudarsan Lohar,"38,199",4.7%,Independent, AC View
5,5,Upendra Nath Nayak,"31,165",3.8%,Independent, AC View
6,6,Deepak Kumar Singh,"21,491",2.6%,Independent, AC View
