x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Rajesh Kumar Mishra,"206,904",32.6%,Indian National Congress, AC View
2,2,Shankar Prasad Jaiswal,"149,468",23.6%,Bharatiya Janta Party, AC View
3,3,Atahar Jamal Lari,"93,228",14.7%,Apna Dal, AC View
4,4,Amir Chand Patel,"59,518",9.4%,Bahujan Samaj Party, AC View
5,5,Anjana Prakash,"59,104",9.3%,Samajwadi Party, AC View
6,6,"Shalendra Kumar Alias ""ex Dy. S.P""","28,533",4.5%,Independent, AC View
7,7,Kanhaya,"7,550",1.2%,Suheldev Bhartiya Samaj Party, AC View
8,8,Dr. Heera Lal Yadav,"6,379",1.0%,Communist Party Of India (MARXIST), AC View
9,9,Ram Prasad Bavla,"5,878",0.9%,Independent, AC View
10,10,Suresh Singh Alias Suresh,"2,733",0.4%,Independent, AC View
11,11,Narendra Nath Dubey Adig,"2,477",0.4%,Independent, AC View
12,12,Dinesh Chandra Pandey,"2,110",0.3%,Pragtisheel Manav Samaj Party, AC View
13,13,Dev Raj,"2,091",0.3%,Independent, AC View
14,14,Ramji,"2,006",0.3%,Independent, AC View
15,15,Kamal Chand,"1,824",0.3%,Gondvana Gantantra Party, AC View
16,16,Khagendra Nath Pandey,"1,297",0.2%,Independent, AC View
17,17,Ganesh Ram,"1,069",0.2%,Independent, AC View
18,18,Lalji Ram,908,0.1%,Proutist Sarva Samaj Party, AC View
