x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Shivankar Mahadeorao Sukaji,"336,711",43.5%,Bharatiya Janta Party, AC View
2,2,Prof. Jogendra Kawade,"237,937",30.7%,Peoples Republican Party, AC View
3,3,Er. Kuthe Yograj Krishnaji,"75,099",9.7%,Bahujan Samaj Party, AC View
4,4,Jitendra Adku Raut,"28,591",3.7%,Independent, AC View
5,5,Adv. Dadasaheb Alias Bhikaji Walthare,"22,363",2.9%,Bharipa Bahujan Mahasangh, AC View
6,6,Raut Deorao Jagannath,"16,864",2.2%,Independent, AC View
7,7,Uike Sakharam Kawaduji,"11,366",1.5%,Gondvana Gantantra Party, AC View
8,8,Adv. Eknath Bavankar,"10,289",1.3%,Samajwadi Party, AC View
9,9,Katakwar Jayant Krishnamurari,"6,864",0.9%,Independent, AC View
10,10,Bhoyar Vinod Narendra,"6,134",0.8%,Independent, AC View
11,11,Qureshi Mohammad Ikhalak Mo. Yusuf,"5,646",0.7%,Independent, AC View
12,12,Charandas Jangluji Meshram,"4,703",0.6%,Independent, AC View
13,13,Gautam Ramchnadra Janbandhu,"4,693",0.6%,Prabuddha Republican Party, AC View
14,14,Adv. Thengri Natthuji Narayan,"4,526",0.6%,Rashtriya Lok Dal, AC View
15,15,Damodar Laxmanrao Kale,"3,737",0.5%,Independent, AC View
