x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chandrapratap Singh,"210,198",46.0%,Bharatiya Janta Party, AC View
2,2,Tilakraj Singh,"160,633",35.1%,Indian National Congress, AC View
3,3,Patiraj,"32,922",7.2%,Samajwadi Party, AC View
4,4,Dr. Harikrishna Prasad Panika,"17,539",3.8%,Bahujan Samaj Party, AC View
5,5,Guruprasad,"13,543",3.0%,Independent, AC View
6,6,Dalpratap Singh,"9,998",2.2%,Gondvana Gantantra Party, AC View
7,7,Khoobchand Majhi,"7,633",1.7%,Independent, AC View
8,8,Kalicharan,"4,743",1.0%,Savarn Samaj Party, AC View
