x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,E. Ahammed,"354,051",48.5%,Muslim League Kerala State Committee, AC View
2,2,P P Suneer,"251,293",34.5%,Communist Party Of India, AC View
3,3,Aravindan,"71,609",9.8%,Bharatiya Janta Party, AC View
4,4,U Kunhi Muhamed,"45,720",6.3%,Peoples Democratic Party, AC View
5,5,Saleem Veliyancode,"7,666",1.1%,Independent, AC View
