x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ad. Kamat Gurudas Vasant,"493,420",53.3%,Indian National Congress, AC View
2,2,Kirit Somaiya,"394,020",42.6%,Bharatiya Janta Party, AC View
3,3,Dr. Sunil Tukaram Torne,"9,422",1.0%,Bahujan Samaj Party, AC View
4,4,Raja Dhale,"9,159",1.0%,Bharipa Bahujan Mahasangh, AC View
5,5,Shahaji Dhondiba Thorat,"7,208",0.8%,Independent, AC View
6,6,Advocate S. K. Dubey,"2,623",0.3%,Samajwadi Party, AC View
7,7,Ware Jyoti Maruti,"1,890",0.2%,Independent, AC View
8,8,Vithalrao Jadhav,"1,399",0.2%,Maharashtra Rajiv Congress, AC View
9,9,Abdul Sattar Mohammedsab Attar,"1,353",0.1%,Kranti Kari Jai Hind Sena, AC View
10,10,Pius Varghese Pullikottil,"1,243",0.1%,Independent, AC View
11,11,Mahesh Madhukar Sawant-Patel,"1,058",0.1%,Akhil Bharat Hindu Mahasabha, AC View
12,12,Khan Rais Ahmad,"1,012",0.1%,National Loktantrik Party, AC View
13,13,Thapar Madan Lal,"1,004",0.1%,Independent, AC View
14,14,Umesh Shrirang Dhende,848,0.1%,Independent, AC View
