x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Jai Prakash,"148,578",26.0%,Samajwadi Party, AC View
2,2,Radhe Lal,"146,010",25.5%,Bahujan Samaj Party, AC View
3,3,Mast Ram,"115,989",20.3%,Bharatiya Janta Party, AC View
4,4,Reena Choudhary,"103,927",18.2%,Indian National Congress, AC View
5,5,Kaushal Kishore,"28,757",5.0%,Rashtravadi Communist Party, AC View
6,6,Radhe Shyam,"12,807",2.2%,Independent, AC View
7,7,Archana,"5,044",0.9%,Apna Dal, AC View
8,8,Babu Lal,"4,654",0.8%,Independent, AC View
9,9,Chhavi Nath,"3,574",0.6%,Independent, AC View
10,10,Reena Choudhary D/o Kallo Choudhary,"2,539",0.4%,Manuvadi Party, AC View
