x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,A. Narendra,"453,738",50.5%,Telangana Rashtra Samithi, AC View
2,2,P Ramachandra Reddy,"329,972",36.7%,Bharatiya Janta Party, AC View
3,3,Nalla Suryaprakash,"52,273",5.8%,Bahujan Samaj Party, AC View
4,4,Md. Ulfathali,"34,476",3.8%,Independent, AC View
5,5,K. Laxmaiah Yadav,"18,457",2.1%,Independent, AC View
6,6,P. Jeevula Naik,"12,099",1.3%,Independent, AC View
