x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Somnath Chatterjee,"504,836",65.8%,Communist Party Of India (MARXIST), AC View
2,2,Dr. Nirmal Kumar Maji,"194,531",25.3%,All India Trinamool Congress, AC View
3,3,Dhananjoy Ghosh,"48,756",6.4%,Indian National Congress, AC View
4,4,Budhen Soren,"9,860",1.3%,Independent, AC View
5,5,Bhabotosh Mandal,"6,561",0.9%,Bahujan Samaj Party, AC View
6,6,Bijoy Dolui,"5,515",0.7%,Independent, AC View
