x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Katara Babubhai Khimabhai,"228,154",44.1%,Bharatiya Janta Party, AC View
2,2,Taviyad Dr. Prabhabahen Kishorsinh,"227,793",44.0%,Indian National Congress, AC View
3,3,Somjibhai Damor,"45,597",8.8%,Bharatiya Navshakti Party, AC View
4,4,Katara Sigjibhai Jaljibhai,"16,301",3.1%,Communist Party Of India (MARXIST), AC View
