x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sarvey Sathyanarayana,"593,879",53.1%,Indian National Congress, AC View
2,2,Dr.K.Lingaiah,"454,907",40.7%,Telugu Desam, AC View
3,3,Smt.Paladugu Gouramma,"31,949",2.9%,Bahujan Samaj Party, AC View
4,4,B.O.V.Rao,"25,069",2.2%,Independent, AC View
5,5,Y.Samaiah,"14,010",1.3%,Independent, AC View
