x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ganesan. L,"450,907",63.7%,Marumalarchi Dravida Munnetra Kazhagam, AC View
2,2,Paranjothi. M,"234,182",33.1%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Ravi. P,"7,831",1.1%,Independent, AC View
4,4,Ramesh. M,"4,418",0.6%,Bahujan Samaj Party, AC View
5,5,Pilantinal Mary. A,"2,342",0.3%,Independent, AC View
6,6,Hemavathy. V,"1,862",0.3%,Jharkhand Party, AC View
7,7,Balakrishnan. M. D.,"1,378",0.2%,Independent, AC View
8,8,Angusamy. N,"1,101",0.2%,Independent, AC View
9,9,Arumugam. P,844,0.1%,Independent, AC View
10,10,Thiyagarajan. A,824,0.1%,Independent, AC View
11,11,Ajimudeen. G,711,0.1%,Independent, AC View
12,12,Sathakathulla Moulana. N. M.,623,0.1%,Independent, AC View
13,13,Arumugam. C,594,0.1%,Independent, AC View
14,14,Arumugam. K,520,0.1%,Independent, AC View
