x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sunil Khan,"505,250",59.8%,Communist Party Of India (MARXIST), AC View
2,2,Shib Narayan Saha,"227,742",27.0%,Bharatiya Janta Party, AC View
3,3,Dhibar Shova,"72,419",8.6%,Indian National Congress, AC View
4,4,Umakanta Bhakat,"15,051",1.8%,Samajwadi Janata Party (RASHTRIYA), AC View
5,5,Rabindranath Bouri,"12,364",1.5%,Independent, AC View
6,6,Banshi Lohar,"8,779",1.0%,Independent, AC View
7,7,Mohan Ch. Bouri,"6,011",0.7%,Bahujan Samaj Party, AC View
