x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Punnulal Mohle,"324,729",52.3%,Bharatiya Janta Party, AC View
2,2,Dr. Basant Pahre,"243,176",39.1%,Indian National Congress, AC View
3,3,Shekhar Kumar Banjare,"15,588",2.5%,Independent, AC View
4,4,Engg.Rameshwar Khare,"15,406",2.5%,Bahujan Samaj Party, AC View
5,5,Dr. Bhagirathi Khute,"11,183",1.8%,Gondvana Gantantra Party, AC View
6,6,Chotelal Sumer,"7,236",1.2%,Independent, AC View
7,7,Ramlal,"4,107",0.7%,Samajwadi Party, AC View
