x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Anantha Venkata Rami Reddy,"458,925",52.5%,Indian National Congress, AC View
2,2,Kalava Srinivasulu,"385,521",44.1%,Telugu Desam, AC View
3,3,Gaddala Nagabhushanam,"9,296",1.1%,Bahujan Samaj Party, AC View
4,4,Yatham Pothalaiah,"7,102",0.8%,Independent, AC View
5,5,K. Venkatesulu,"6,232",0.7%,Pyramid Party Of India, AC View
6,6,A. Jagan Mohan Rao,"4,419",0.5%,Telangana Rashtra Samithi, AC View
7,7,B. S. Amarnath,"3,640",0.4%,Independent, AC View
