x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kailash Meghwal,"315,717",53.2%,Bharatiya Janta Party, AC View
2,2,Nand Kishore Bairwa,"257,205",43.4%,Indian National Congress, AC View
3,3,Ram Babu Raiger,"21,436",3.6%,Bahujan Samaj Party, AC View
