x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dhirendra Agarwal,"121,464",27.9%,Rashtriya Janata Dal, AC View
2,2,Inder Singh Namdhari,"102,609",23.6%,Janata Dal (United), AC View
3,3,Nagmani,"99,662",22.9%,Bharatiya Janta Party, AC View
4,4,Ramlal Oraon,"51,917",11.9%,Independent, AC View
5,5,Suresh Yadav,"14,317",3.3%,Samajwadi Party, AC View
6,6,Rampati Ranjan,"11,201",2.6%,Bahujan Samaj Party, AC View
7,7,Dr. Sita Ram Singh,"8,918",2.0%,Independent, AC View
8,8,Birju Ram,"8,631",2.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
9,9,Raj Kumar Sharma,"4,098",0.9%,Independent, AC View
10,10,Muneshwar Singh,"2,821",0.6%,Independent, AC View
11,11,Abid Ali,"2,544",0.6%,Independent, AC View
12,12,Bharat Prasad Singh,"1,710",0.4%,Independent, AC View
13,13,Binod Bihari,"1,496",0.3%,Independent, AC View
14,14,Awadh Kishore Singh,"1,461",0.3%,Independent, AC View
15,15,Bindhyachal Singh,"1,435",0.3%,Independent, AC View
16,16,Chamari Ram,"1,220",0.3%,Independent, AC View
