x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Guharam Ajgalle,"242,575",41.3%,Bharatiya Janta Party, AC View
2,2,Parasram Bhardwaj,"183,457",31.2%,Indian National Congress, AC View
3,3,Dau Ram Ratnakar,"113,004",19.2%,Bahujan Samaj Party, AC View
4,4,Ramvilas Ratre,"13,315",2.3%,Independent, AC View
5,5,Ramashankar,"8,727",1.5%,Independent, AC View
6,6,Rohit Kumar Chauhan,"7,109",1.2%,Samajwadi Party, AC View
7,7,Dr. Govind Chouhan,"7,071",1.2%,Independent, AC View
8,8,Saheblal Chauhan,"3,703",0.6%,Apna Dal, AC View
9,9,Karamchand Suryawanshi S/o Shri Ramu Suryawanshi,"3,249",0.6%,Independent, AC View
10,10,Shiv Prasad,"3,089",0.5%,Janata Dal (United), AC View
11,11,Awadhram Behara,"2,608",0.4%,Independent, AC View
