x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Moni Kumar Subba,"289,847",40.2%,Indian National Congress, AC View
2,2,Padma Hazarika,"219,402",30.5%,Asom Gana Parisad, AC View
3,3,Ghisa Lal Agarwalla,"164,662",22.9%,Bharatiya Janta Party, AC View
4,4,Rubul Sarma,"24,595",3.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Dipen Tanti,"21,262",3.0%,Independent, AC View
