x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kapil Sibal,"127,396",71.2%,Indian National Congress, AC View
2,2,Smriti Z. Iraani,"47,981",26.8%,Bharatiya Janta Party, AC View
3,3,Gian Prakash Saini,"1,444",0.8%,Bahujan Samaj Party, AC View
4,4,Mohd. Sami,660,0.4%,Independent, AC View
5,5,Roop Dhar Yadav,434,0.2%,Samata Party, AC View
6,6,Bashir Ahmed,235,0.1%,Independent, AC View
7,7,Satish Kumar,168,0.1%,Independent, AC View
8,8,Dr. Sanjay Kumar Gupta,165,0.1%,Shiv Sena, AC View
9,9,Arun Kumar,123,0.1%,Independent, AC View
10,10,Shiv Hari Agrawal,111,0.1%,Independent, AC View
11,11,Alim,96,0.1%,Independent, AC View
12,12,Mukesh Arora,54,0.0%,Independent, AC View
13,13,Amit Whig,49,0.0%,Independent, AC View
14,14,Jagdish Kumar Dembala,46,0.0%,Independent, AC View
15,15,Ashok Kumar,45,0.0%,Independent, AC View
